SRC,TGT,SPLIT,K,FILE,N_ALL,ACC_ALL,INVALID,N_Chain,ACC_Chain,N_Y-shaped,ACC_Y-shaped,N_Block,ACC_Block,N_Other,ACC_Other
AR-LSAT,LogicalDeduction,dev,0,embed_results/LogicalDeduction/k0/AR-LSAT__LogicalDeduction_dev_k0_icl.json,300,0.7433333333333333,0,0,0.0,0,0.0,0,0.0,300,0.7433333333333333
FOLIO,LogicalDeduction,dev,0,embed_results/LogicalDeduction/k0/FOLIO__LogicalDeduction_dev_k0_icl.json,300,0.7366666666666667,0,0,0.0,0,0.0,0,0.0,300,0.7366666666666667
ProntoQA,LogicalDeduction,dev,0,embed_results/LogicalDeduction/k0/ProntoQA__LogicalDeduction_dev_k0_icl.json,300,0.8566666666666667,0,0,0.0,0,0.0,0,0.0,300,0.8566666666666667
ProofWriter,LogicalDeduction,dev,0,embed_results/LogicalDeduction/k0/ProofWriter__LogicalDeduction_dev_k0_icl.json,300,0.7366666666666667,0,0,0.0,0,0.0,0,0.0,300,0.7366666666666667
gsm8k,LogicalDeduction,dev,0,embed_results/LogicalDeduction/k0/gsm8k__LogicalDeduction_dev_k0_icl.json,300,0.7366666666666667,0,0,0.0,0,0.0,0,0.0,300,0.7366666666666667
AR-LSAT,LogicalDeduction,dev,1,embed_results/LogicalDeduction/k1/AR-LSAT__LogicalDeduction_dev_k1_icl.json,300,0.79,0,0,0.0,0,0.0,0,0.0,300,0.79
FOLIO,LogicalDeduction,dev,1,embed_results/LogicalDeduction/k1/FOLIO__LogicalDeduction_dev_k1_icl.json,300,0.86,0,0,0.0,0,0.0,0,0.0,300,0.86
ProntoQA,LogicalDeduction,dev,1,embed_results/LogicalDeduction/k1/ProntoQA__LogicalDeduction_dev_k1_icl.json,300,0.8733333333333333,0,0,0.0,0,0.0,0,0.0,300,0.8733333333333333
ProofWriter,LogicalDeduction,dev,1,embed_results/LogicalDeduction/k1/ProofWriter__LogicalDeduction_dev_k1_icl.json,300,0.8633333333333333,0,0,0.0,0,0.0,0,0.0,300,0.8633333333333333
gsm8k,LogicalDeduction,dev,1,embed_results/LogicalDeduction/k1/gsm8k__LogicalDeduction_dev_k1_icl.json,300,0.87,0,0,0.0,0,0.0,0,0.0,300,0.87
AR-LSAT,LogicalDeduction,dev,2,embed_results/LogicalDeduction/k2/AR-LSAT__LogicalDeduction_dev_k2_icl.json,300,0.7566666666666667,0,0,0.0,0,0.0,0,0.0,300,0.7566666666666667
FOLIO,LogicalDeduction,dev,2,embed_results/LogicalDeduction/k2/FOLIO__LogicalDeduction_dev_k2_icl.json,300,0.88,0,0,0.0,0,0.0,0,0.0,300,0.88
ProntoQA,LogicalDeduction,dev,2,embed_results/LogicalDeduction/k2/ProntoQA__LogicalDeduction_dev_k2_icl.json,300,0.84,0,0,0.0,0,0.0,0,0.0,300,0.84
ProofWriter,LogicalDeduction,dev,2,embed_results/LogicalDeduction/k2/ProofWriter__LogicalDeduction_dev_k2_icl.json,300,0.8566666666666667,0,0,0.0,0,0.0,0,0.0,300,0.8566666666666667
gsm8k,LogicalDeduction,dev,2,embed_results/LogicalDeduction/k2/gsm8k__LogicalDeduction_dev_k2_icl.json,300,0.8333333333333334,0,0,0.0,0,0.0,0,0.0,300,0.8333333333333334
AR-LSAT,LogicalDeduction,dev,4,embed_results/LogicalDeduction/k4/AR-LSAT__LogicalDeduction_dev_k4_icl.json,300,0.73,0,0,0.0,0,0.0,0,0.0,300,0.73
FOLIO,LogicalDeduction,dev,4,embed_results/LogicalDeduction/k4/FOLIO__LogicalDeduction_dev_k4_icl.json,300,0.8566666666666667,0,0,0.0,0,0.0,0,0.0,300,0.8566666666666667
ProofWriter,LogicalDeduction,dev,4,embed_results/LogicalDeduction/k4/ProofWriter__LogicalDeduction_dev_k4_icl.json,300,0.8566666666666667,0,0,0.0,0,0.0,0,0.0,300,0.8566666666666667
