SRC,TGT,SPLIT,K,FILE,N_ALL,ACC_ALL,INVALID,N_Chain,ACC_Chain,N_Y-shaped,ACC_Y-shaped,N_Block,ACC_Block,N_Other,ACC_Other
AR-LSAT,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/AR-LSAT__LogicalDeduction_dev_icl.json,300,0.8266666666666667,0,241,0.8298755186721992,0,0.0,59,0.8135593220338984,0,0.0
FOLIO,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/FOLIO__LogicalDeduction_dev_icl.json,300,0.85,0,241,0.8506224066390041,0,0.0,59,0.847457627118644,0,0.0
ProntoQA,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProntoQA__LogicalDeduction_dev_icl.json,300,0.8266666666666667,0,241,0.8132780082987552,0,0.0,59,0.8813559322033898,0,0.0
ProofWriter,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProofWriter__LogicalDeduction_dev_icl.json,300,0.8366666666666667,0,241,0.8298755186721992,0,0.0,59,0.864406779661017,0,0.0
gsm8k,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/gsm8k__LogicalDeduction_dev_icl.json,300,0.85,0,241,0.8464730290456431,0,0.0,59,0.864406779661017,0,0.0
AR-LSAT,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/AR-LSAT__LogicalDeduction_dev_k0_icl.json,300,0.8266666666666667,0,241,0.8174273858921162,0,0.0,59,0.864406779661017,0,0.0
FOLIO,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/FOLIO__LogicalDeduction_dev_k0_icl.json,300,0.8266666666666667,0,241,0.8174273858921162,0,0.0,59,0.864406779661017,0,0.0
ProntoQA,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/ProntoQA__LogicalDeduction_dev_k0_icl.json,300,0.8366666666666667,0,241,0.8298755186721992,0,0.0,59,0.864406779661017,0,0.0
ProofWriter,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/ProofWriter__LogicalDeduction_dev_k0_icl.json,300,0.83,0,241,0.8215767634854771,0,0.0,59,0.864406779661017,0,0.0
gsm8k,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/gsm8k__LogicalDeduction_dev_k0_icl.json,300,0.8266666666666667,0,241,0.8174273858921162,0,0.0,59,0.864406779661017,0,0.0
AR-LSAT,LogicalDeduction,dev,1,logical_results/LogicalDeduction/k1/AR-LSAT__LogicalDeduction_dev_k1_icl.json,300,0.79,0,240,0.7875,0,0.0,60,0.8,0,0.0
FOLIO,LogicalDeduction,dev,1,logical_results/LogicalDeduction/k1/FOLIO__LogicalDeduction_dev_k1_icl.json,300,0.8266666666666667,0,240,0.825,0,0.0,60,0.8333333333333334,0,0.0
ProntoQA,LogicalDeduction,dev,1,logical_results/LogicalDeduction/k1/ProntoQA__LogicalDeduction_dev_k1_icl.json,300,0.8466666666666667,0,241,0.8381742738589212,0,0.0,59,0.8813559322033898,0,0.0
ProofWriter,LogicalDeduction,dev,1,logical_results/LogicalDeduction/k1/ProofWriter__LogicalDeduction_dev_k1_icl.json,300,0.83,0,241,0.8257261410788381,0,0.0,59,0.847457627118644,0,0.0
gsm8k,LogicalDeduction,dev,1,logical_results/LogicalDeduction/k1/gsm8k__LogicalDeduction_dev_k1_icl.json,300,0.8433333333333334,0,241,0.8464730290456431,0,0.0,59,0.8305084745762712,0,0.0
AR-LSAT,LogicalDeduction,dev,2,logical_results/LogicalDeduction/k2/AR-LSAT__LogicalDeduction_dev_k2_icl.json,300,0.8166666666666667,0,241,0.8215767634854771,0,0.0,59,0.7966101694915254,0,0.0
FOLIO,LogicalDeduction,dev,2,logical_results/LogicalDeduction/k2/FOLIO__LogicalDeduction_dev_k2_icl.json,300,0.8566666666666667,0,241,0.8547717842323651,0,0.0,59,0.864406779661017,0,0.0
ProntoQA,LogicalDeduction,dev,2,logical_results/LogicalDeduction/k2/ProntoQA__LogicalDeduction_dev_k2_icl.json,300,0.8433333333333334,0,241,0.8381742738589212,0,0.0,59,0.864406779661017,0,0.0
ProofWriter,LogicalDeduction,dev,2,logical_results/LogicalDeduction/k2/ProofWriter__LogicalDeduction_dev_k2_icl.json,300,0.8466666666666667,0,240,0.825,0,0.0,60,0.9333333333333333,0,0.0
gsm8k,LogicalDeduction,dev,2,logical_results/LogicalDeduction/k2/gsm8k__LogicalDeduction_dev_k2_icl.json,300,0.8466666666666667,0,239,0.8284518828451883,0,0.0,61,0.9180327868852459,0,0.0
AR-LSAT,LogicalDeduction,dev,4,logical_results/LogicalDeduction/k4/AR-LSAT__LogicalDeduction_dev_k4_icl.json,300,0.8333333333333334,0,238,0.8361344537815126,0,0.0,62,0.8225806451612904,0,0.0
FOLIO,LogicalDeduction,dev,4,logical_results/LogicalDeduction/k4/FOLIO__LogicalDeduction_dev_k4_icl.json,300,0.8533333333333334,0,241,0.8464730290456431,0,0.0,59,0.8813559322033898,0,0.0
ProntoQA,LogicalDeduction,dev,4,logical_results/LogicalDeduction/k4/ProntoQA__LogicalDeduction_dev_k4_icl.json,300,0.83,0,240,0.825,0,0.0,60,0.85,0,0.0
ProofWriter,LogicalDeduction,dev,4,logical_results/LogicalDeduction/k4/ProofWriter__LogicalDeduction_dev_k4_icl.json,300,0.8233333333333334,0,241,0.8174273858921162,0,0.0,59,0.847457627118644,0,0.0
gsm8k,LogicalDeduction,dev,4,logical_results/LogicalDeduction/k4/gsm8k__LogicalDeduction_dev_k4_icl.json,300,0.8233333333333334,0,241,0.8298755186721992,0,0.0,59,0.7966101694915254,0,0.0
AR-LSAT,LogicalDeduction,dev,6,logical_results/LogicalDeduction/k6/AR-LSAT__LogicalDeduction_dev_k6_icl.json,300,0.8133333333333334,0,241,0.8008298755186722,0,0.0,59,0.864406779661017,0,0.0
FOLIO,LogicalDeduction,dev,6,logical_results/LogicalDeduction/k6/FOLIO__LogicalDeduction_dev_k6_icl.json,300,0.8466666666666667,0,239,0.8410041841004184,0,0.0,61,0.8688524590163934,0,0.0
ProntoQA,LogicalDeduction,dev,6,logical_results/LogicalDeduction/k6/ProntoQA__LogicalDeduction_dev_k6_icl.json,300,0.8566666666666667,0,241,0.8506224066390041,0,0.0,59,0.8813559322033898,0,0.0
ProofWriter,LogicalDeduction,dev,6,logical_results/LogicalDeduction/k6/ProofWriter__LogicalDeduction_dev_k6_icl.json,300,0.8133333333333334,0,241,0.8091286307053942,0,0.0,59,0.8305084745762712,0,0.0
gsm8k,LogicalDeduction,dev,6,logical_results/LogicalDeduction/k6/gsm8k__LogicalDeduction_dev_k6_icl.json,300,0.8366666666666667,0,241,0.8381742738589212,0,0.0,59,0.8305084745762712,0,0.0
AR-LSAT,LogicalDeduction,dev,8,logical_results/LogicalDeduction/k8/AR-LSAT__LogicalDeduction_dev_k8_icl.json,300,0.8,0,241,0.8008298755186722,0,0.0,59,0.7966101694915254,0,0.0
FOLIO,LogicalDeduction,dev,8,logical_results/LogicalDeduction/k8/FOLIO__LogicalDeduction_dev_k8_icl.json,300,0.8433333333333334,0,241,0.8340248962655602,0,0.0,59,0.8813559322033898,0,0.0
ProntoQA,LogicalDeduction,dev,8,logical_results/LogicalDeduction/k8/ProntoQA__LogicalDeduction_dev_k8_icl.json,300,0.8366666666666667,0,241,0.8381742738589212,0,0.0,59,0.8305084745762712,0,0.0
ProofWriter,LogicalDeduction,dev,8,logical_results/LogicalDeduction/k8/ProofWriter__LogicalDeduction_dev_k8_icl.json,300,0.8233333333333334,0,241,0.8174273858921162,0,0.0,59,0.847457627118644,0,0.0
