SRC,TGT,SPLIT,K,FILE,STRUCTURE,N,CORRECT,ACC,INVALID
AR-LSAT,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/AR-LSAT__LogicalDeduction_dev_icl.json,ALL,300,248,0.8266666666666667,0.0
AR-LSAT,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/AR-LSAT__LogicalDeduction_dev_icl.json,Block,59,48,0.8135593220338984,
AR-LSAT,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/AR-LSAT__LogicalDeduction_dev_icl.json,Chain,241,200,0.8298755186721992,
AR-LSAT,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/AR-LSAT__LogicalDeduction_dev_icl.json,Other,0,0,0.0,
AR-LSAT,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/AR-LSAT__LogicalDeduction_dev_icl.json,Y-shaped,0,0,0.0,
FOLIO,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/FOLIO__LogicalDeduction_dev_icl.json,ALL,300,255,0.85,0.0
FOLIO,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/FOLIO__LogicalDeduction_dev_icl.json,Block,59,50,0.847457627118644,
FOLIO,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/FOLIO__LogicalDeduction_dev_icl.json,Chain,241,205,0.8506224066390041,
FOLIO,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/FOLIO__LogicalDeduction_dev_icl.json,Other,0,0,0.0,
FOLIO,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/FOLIO__LogicalDeduction_dev_icl.json,Y-shaped,0,0,0.0,
ProntoQA,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProntoQA__LogicalDeduction_dev_icl.json,ALL,300,248,0.8266666666666667,0.0
ProntoQA,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProntoQA__LogicalDeduction_dev_icl.json,Block,59,52,0.8813559322033898,
ProntoQA,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProntoQA__LogicalDeduction_dev_icl.json,Chain,241,196,0.8132780082987552,
ProntoQA,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProntoQA__LogicalDeduction_dev_icl.json,Other,0,0,0.0,
ProntoQA,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProntoQA__LogicalDeduction_dev_icl.json,Y-shaped,0,0,0.0,
ProofWriter,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProofWriter__LogicalDeduction_dev_icl.json,ALL,300,251,0.8366666666666667,0.0
ProofWriter,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProofWriter__LogicalDeduction_dev_icl.json,Block,59,51,0.864406779661017,
ProofWriter,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProofWriter__LogicalDeduction_dev_icl.json,Chain,241,200,0.8298755186721992,
ProofWriter,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProofWriter__LogicalDeduction_dev_icl.json,Other,0,0,0.0,
ProofWriter,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/ProofWriter__LogicalDeduction_dev_icl.json,Y-shaped,0,0,0.0,
gsm8k,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/gsm8k__LogicalDeduction_dev_icl.json,ALL,300,255,0.85,0.0
gsm8k,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/gsm8k__LogicalDeduction_dev_icl.json,Block,59,51,0.864406779661017,
gsm8k,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/gsm8k__LogicalDeduction_dev_icl.json,Chain,241,204,0.8464730290456431,
gsm8k,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/gsm8k__LogicalDeduction_dev_icl.json,Other,0,0,0.0,
gsm8k,LogicalDeduction,dev,-1,logical_results/LogicalDeduction/gsm8k__LogicalDeduction_dev_icl.json,Y-shaped,0,0,0.0,
AR-LSAT,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/AR-LSAT__LogicalDeduction_dev_k0_icl.json,ALL,300,248,0.8266666666666667,0.0
AR-LSAT,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/AR-LSAT__LogicalDeduction_dev_k0_icl.json,Block,59,51,0.864406779661017,
AR-LSAT,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/AR-LSAT__LogicalDeduction_dev_k0_icl.json,Chain,241,197,0.8174273858921162,
AR-LSAT,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/AR-LSAT__LogicalDeduction_dev_k0_icl.json,Other,0,0,0.0,
AR-LSAT,LogicalDeduction,dev,0,logical_results/LogicalDeduction/k0/AR-LSAT__LogicalDeduction_dev_k0_icl.json,Y-shaped,0,0,0.0,
